iter	Passed	Remaining
400	18572	27742
401	18616	27693
402	18663	27647
403	18716	27611
404	18774	27582
405	18827	27545
406	18884	27515
407	18936	27476
408	18997	27451
409	19039	27398
410	19080	27344
411	19120	27289
412	19164	27238
413	19218	27203
414	19265	27157
415	19312	27111
416	19374	27087
417	19419	27039
418	19481	27013
419	19523	26960
420	19570	26915
421	19628	26885
422	19685	26852
423	19741	26819
424	19788	26772
425	19845	26739
426	19895	26698
427	19944	26655
428	20011	26634
429	20060	26592
430	20108	26546
431	20163	26510
432	20218	26475
433	20276	26443
434	20334	26412
435	20381	26364
436	20433	26324
437	20463	26256
438	20524	26228
439	20573	26184
440	20623	26141
441	20674	26099
442	20713	26043
443	20772	26012
444	20813	25957
445	20873	25928
446	20922	25883
447	20971	25839
448	21002	25773
449	21046	25723
450	21105	25692
451	21153	25646
452	21198	25597
453	21245	25550
454	21304	25518
455	21348	25468
456	21397	25424
457	21438	25370
458	21503	25345
459	21559	25308
460	21605	25260
461	21653	25215
462	21695	25162
463	21740	25113
464	21784	25063
465	21834	25021
466	21891	24984
467	21939	24939
468	21996	24904
469	22041	24855
470	22084	24803
471	22126	24751
472	22176	24708
473	22221	24659
474	22272	24616
475	22327	24579
476	22381	24539
477	22421	24485
478	22472	24443
479	22521	24398
480	22576	24360
481	22621	24311
482	22672	24268
483	22720	24222
484	22770	24179
485	22825	24140
486	22899	24122
487	22959	24088
488	23014	24050
489	23057	23998
490	23114	23961
491	23164	23918
492	23218	23877
493	23268	23834
494	23326	23797
495	23384	23761
496	23440	23723
497	23488	23677
498	23526	23620
499	23575	23575
500	23606	23512
501	23657	23469
502	23708	23425
503	23754	23377
504	23802	23331
505	23833	23268
506	23876	23217
507	23934	23180
508	23984	23136
509	24037	23094
510	24107	23069
511	24156	23024
512	24205	22979
513	24245	22925
514	24292	22877
515	24344	22834
516	24378	22775
517	24441	22742
518	24472	22680
519	24511	22625
520	24566	22586
521	24604	22530
522	24666	22497
523	24714	22450
524	24766	22407
525	24809	22356
526	24853	22306
527	24901	22260
528	24956	22220
529	24995	22166
530	25030	22107
531	25073	22057
532	25113	22003
533	25173	21967
534	25215	21916
535	25264	21871
536	25317	21828
537	25368	21784
538	25412	21735
539	25456	21685
540	25508	21642
541	25561	21600
542	25609	21553
543	25668	21516
544	25715	21469
545	25765	21424
546	25819	21382
547	25875	21342
548	25922	21295
549	25975	21253
550	26020	21203
551	26068	21157
552	26104	21100
553	26165	21064
554	26221	21024
555	26269	20977
556	26318	20931
557	26352	20874
558	26402	20828
559	26450	20782
560	26508	20743
561	26572	20709
562	26630	20670
563	26682	20627
564	26741	20588
565	26800	20550
566	26841	20497
567	26884	20447
568	26936	20403
569	26972	20347
570	27021	20301
571	27064	20251
572	27119	20209
573	27173	20167
574	27230	20126
575	27280	20081
576	27337	20041
577	27375	19987
578	27427	19943
579	27476	19896
580	27521	19847
581	27561	19794
582	27610	19748
583	27656	19700
584	27718	19663
585	27777	19624
586	27828	19579
587	27873	19530
588	27925	19486
589	27968	19435
590	28019	19390
591	28070	19346
592	28121	19301
593	28178	19259
594	28227	19213
595	28268	19161
596	28321	19118
597	28375	19074
598	28429	19031
599	28472	18981
600	28525	18937
601	28570	18888
602	28629	18849
603	28672	18798
604	28732	18759
605	28779	18711
606	28821	18660
607	28853	18602
608	28910	18561
609	28969	18521
610	29021	18476
611	29064	18426
612	29119	18383
613	29173	18340
614	29234	18301
615	29295	18261
616	29346	18216
617	29376	18158
618	29423	18110
619	29475	18065
620	29535	18025
621	29578	17975
622	29624	17926
623	29687	17888
624	29752	17851
625	29802	17805
626	29862	17764
627	29922	17724
628	29983	17685
629	30024	17633
630	30075	17587
631	30118	17537
632	30164	17488
633	30218	17444
634	30261	17394
635	30316	17350
636	30368	17306
637	30425	17263
638	30472	17215
639	30518	17166
640	30578	17125
641	30617	17073
642	30664	17025
643	30713	16978
644	30765	16932
645	30813	16885
646	30873	16844
647	30918	16795
648	30971	16750
649	31030	16708
650	31079	16661
651	31134	16617
652	31183	16570
653	31233	16524
654	31284	16478
655	31324	16426
656	31380	16382
657	31441	16341
658	31496	16297
659	31560	16258
660	31612	16212
661	31666	16168
662	31720	16123
663	31778	16080
664	31838	16038
665	31889	15992
666	31943	15947
667	31998	15903
668	32055	15860
669	32112	15816
670	32173	15775
671	32235	15734
672	32271	15680
673	32317	15631
674	32368	15584
675	32426	15541
676	32471	15492
677	32509	15439
678	32567	15396
679	32609	15345
680	32652	15295
681	32706	15250
682	32741	15196
683	32805	15155
684	32861	15111
685	32912	15064
686	32949	15012
687	33009	14969
688	33066	14925
689	33126	14882
690	33183	14838
691	33246	14797
692	33293	14749
693	33343	14702
694	33393	14654
695	33444	14607
696	33502	14564
697	33548	14515
698	33604	14470
699	33666	14428
700	33722	14383
701	33781	14340
702	33840	14296
703	33885	14247
704	33933	14199
705	33977	14149
706	34032	14103
707	34080	14055
708	34141	14013
709	34185	13963
710	34230	13913
711	34285	13868
712	34333	13819
713	34388	13774
714	34447	13730
715	34486	13679
716	34545	13635
717	34590	13585
718	34628	13533
719	34677	13485
720	34725	13437
721	34772	13388
722	34811	13337
723	34866	13291
724	34916	13244
725	34981	13202
726	35029	13154
727	35066	13101
728	35119	13055
729	35171	13008
730	35230	12964
731	35274	12914
732	35318	12864
733	35374	12819
734	35418	12769
735	35471	12723
736	35522	12676
737	35583	12632
738	35631	12584
739	35709	12546
740	35762	12499
741	35815	12453
742	35867	12406
743	35922	12360
744	35981	12315
745	36041	12271
746	36083	12220
747	36142	12176
748	36195	12129
749	36238	12079
750	36282	12029
751	36328	11980
752	36370	11930
753	36413	11880
754	36466	11833
755	36516	11785
756	36570	11739
757	36628	11694
758	36681	11647
759	36735	11600
760	36796	11556
761	36850	11509
762	36905	11463
763	36956	11416
764	37009	11369
765	37071	11324
766	37123	11277
767	37190	11234
768	37239	11186
769	37288	11138
770	37334	11089
771	37388	11042
772	37440	10994
773	37499	10949
774	37546	10900
775	37585	10849
776	37640	10802
777	37698	10757
778	37762	10713
779	37824	10668
780	37884	10623
781	37923	10571
782	37975	10524
783	38021	10475
784	38076	10428
785	38123	10379
786	38185	10334
787	38235	10286
788	38291	10240
789	38345	10192
790	38400	10146
791	38443	10096
792	38489	10046
793	38530	9996
794	38579	9948
795	38623	9898
796	38661	9847
797	38713	9799
798	38774	9754
799	38823	9705
800	38880	9659
801	38921	9608
802	38978	9562
803	39037	9516
804	39081	9466
805	39132	9418
806	39187	9372
807	39230	9322
808	39267	9270
809	39313	9221
810	39373	9175
811	39430	9129
812	39485	9082
813	39533	9033
814	39566	8981
815	39614	8932
816	39663	8884
817	39722	8838
818	39781	8791
819	39852	8748
820	39907	8700
821	39953	8651
822	40013	8605
823	40061	8556
824	40112	8508
825	40160	8460
826	40206	8410
827	40248	8360
828	40309	8314
829	40345	8263
830	40393	8214
831	40454	8168
832	40512	8121
833	40564	8074
834	40618	8026
835	40666	7977
836	40709	7927
837	40750	7877
838	40809	7831
839	40848	7780
840	40903	7733
841	40954	7685
842	40994	7634
843	41039	7585
844	41090	7537
845	41143	7489
846	41189	7440
847	41252	7394
848	41316	7348
849	41368	7300
850	41398	7248
851	41451	7200
852	41486	7149
853	41532	7100
854	41587	7052
855	41647	7006
856	41699	6958
857	41739	6907
858	41799	6861
859	41841	6811
860	41895	6763
861	41947	6715
862	41986	6665
863	42043	6618
864	42105	6571
865	42149	6521
866	42213	6475
867	42265	6427
868	42322	6379
869	42378	6332
870	42431	6284
871	42480	6235
872	42537	6188
873	42576	6138
874	42629	6089
875	42677	6041
876	42733	5993
877	42793	5946
878	42843	5897
879	42894	5849
880	42944	5800
881	43010	5754
882	43073	5707
883	43115	5657
884	43187	5611
885	43246	5564
886	43285	5514
887	43342	5466
888	43399	5418
889	43455	5370
890	43505	5322
891	43563	5274
892	43608	5225
893	43647	5175
